TEXT: 精闢,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6105
TEXT: 中肯，對方敢跑來跟我說 CP值不高，我一定更不甩你你裝可憐說沒錢，我可能還會考慮一下,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1245
TEXT: 別人出錢 去原廠CP最高,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9023
TEXT: C=CAPACITY P=PRICE 怎麼會無關,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3539
TEXT: 中肯,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7097
TEXT: 今天的P是別人出的  當然管他CP多少,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3715
TEXT: 對於車主 P=0 你全責要免費修好 他才不管P真的多少,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7059
TEXT: 應該倒過來問，對方憑什麼要聽原原PO的去外廠,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2486
TEXT: 樓上…因為付錢的不是車主,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0799
TEXT: 中肯,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7097
TEXT: 樓上思維真棒，改天被撞記得聽肇事者，因為他出錢,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8717
TEXT: 紅明顯 這種人只是想省錢想趕快和解，之後維修有爭議時 絕對不關他的事,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2375
